Designator,Val,Package,Mid X,Mid Y,Rot,Side
C1,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,94.3991,-101.1809,90,top
C3,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,89.1921,-161.5694,0,top
C7,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,89.7128,-116.3447,270,top
C13,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,92.6338,-116.3447,270,top
C16,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,94.5388,-124.8029,90,top
C20,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,90.6018,-124.6505,90,top
C22,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,90.3478,-139.5603,270,top
C24,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,89.154,-172.593,0,top
C29,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,93.2434,-139.5603,270,top
C30,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,85.9536,-116.3574,270,top
C31,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,89.3572,-53.4924,0,top
C32,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,90.4875,-100.9777,90,top
C33,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,95.3516,-107.8357,90,top
C34,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,95.9358,-136.7663,0,top
R1,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,76.6572,-110.8202,180,top
R2,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,76.6572,-113.3856,180,top
R3,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,76.64196,-118.46306,180,top
R4,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,76.64196,-121.00306,180,top
R5,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,91.7321,-101.1047,90,top
R6,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,87.8967,-100.9777,90,top
R7,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,87.1728,-116.3447,270,top
R8,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,95.1738,-116.3447,270,top
R9,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,93.0021,-101.1047,90,top
R10,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,89.1921,-100.9777,90,top
R11,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,88.4428,-116.3447,270,top
R12,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,93.9038,-116.3447,270,top
R13,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,93.7641,-103.0097,0,top
R14,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,89.8271,-103.0097,0,top
R15,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,89.0778,-114.1603,0,top
R16,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,92.0242,-114.1603,0,top
R17,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,76.64196,-123.54306,180,top
R18,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,76.64196,-126.08306,180,top
R19,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,76.64196,-128.67132,180,top
R20,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,76.64196,-131.19608,180,top
R21,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,91.8718,-124.7267,90,top
R22,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,88.0618,-124.5997,90,top
R23,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,87.8078,-139.5603,270,top
R24,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,95.7834,-139.5603,270,top
R25,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,93.1418,-124.7775,90,top
R26,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,89.3318,-124.5997,90,top
R27,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,89.0778,-139.5603,270,top
R28,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,94.5134,-139.5603,270,top
R29,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,93.9038,-126.6317,0,top
R30,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,89.9668,-126.6317,0,top
R31,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,89.7128,-137.4013,0,top
R32,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,92.6338,-137.3505,0,top
R33,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,83.4136,-116.3574,270,top
R34,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,84.6963,-116.3574,270,top
R35,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,85.9028,-114.1603,0,top
R55,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,139.4079,-115.2398,270,top
R56,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,138.1506,-115.2398,90,top
R92,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,143.4846,-125.3109,180,top
R93,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,143.5608,-121.7041,0,top
U1,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,89.3445,-108.2929,270,top
U2,ADS1015IDGS,VSSOP-10_3x3mm_P0.5mm,87.0712,-165.8747,90,top
U3,ADS1015IDGS,VSSOP-10_3x3mm_P0.5mm,87.246601,-176.53,90,top
U4,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,89.9668,-131.9403,270,top
U8,ADS1015IDGS,VSSOP-10_3x3mm_P0.5mm,86.383001,-54.1528,90,top
