Designator,Val,Package,Mid X,Mid Y,Rot,Side
C4,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,136.5504,-136.779,180,bottom
C5,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,159.0167,-124.6897,90,bottom
C6,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,136.5504,-133.604,180,bottom
C8,24pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,148.0479,-141.859,0,bottom
C9,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,162.8394,-146.431,270,bottom
C10,24pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,148.0399,-140.716,180,bottom
C11,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,157.3657,-125.2982,90,bottom
C12,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,161.5694,-146.431,270,bottom
C14,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,169.672,-129.7178,90,bottom
C15,0.01uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,156.0957,-125.2982,90,bottom
C17,0.01uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,150.0124,-135.001,180,bottom
C18,0.01uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,150.0124,-133.858,180,bottom
C19,0.01uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,159.7914,-146.431,270,bottom
C20,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,228.092,-91.8845,270,bottom
C21,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,154.8257,-125.2982,90,bottom
C23,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,168.9354,-136.144,0,bottom
C24,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,158.5214,-146.431,270,bottom
C25,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,168.9354,-137.414,0,bottom
C26,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,79.5782,-114.9096,90,bottom
C27,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,73.6092,-115.1636,180,bottom
C28,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,113.3515,-121.92,0,bottom
D13,LED_RED,LED_0603_1608Metric,157.9626,-153.289,90,bottom
D14,LED_GREEN,LED_0603_1608Metric,153.3906,-153.289,90,bottom
D15,+3.3V,LED_0603_1608Metric,84.7852,-117.7671,180,bottom
FB1,600_Ohm@100MHz,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,171.8056,-132.207,180,bottom
FB2,600_Ohm@100MHz,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,75.5142,-111.7981,270,bottom
J8,USB_B_Micro,USB_Micro-AB_Molex_47590-0001,70.9422,-130.5941,90,bottom
R49,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,165.6334,-146.431,90,bottom
R50,4.7K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,181.1147,-92.0871,270,bottom
R51,4.7K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,179.7177,-92.0496,90,bottom
R52,4.7K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,167.7289,-92.329,270,bottom
R53,4.7K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,166.3319,-92.329,90,bottom
R54,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,164.2364,-146.431,90,bottom
R55,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,152.1714,-145.542,0,bottom
R56,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,152.1714,-144.272,180,bottom
R58,4.7K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,157.988,-156.8958,270,bottom
R60,4.7K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,153.3652,-156.9466,270,bottom
R62,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,143.9164,-134.874,90,bottom
R71,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,226.4785,-89.7255,0,bottom
R72,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,229.616,-89.7255,180,bottom
R74,100K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,147.5486,-94.8563,90,bottom
R75,100K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,140.0048,-94.8817,90,bottom
R76,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,81.6102,-117.7671,0,bottom
R77,100K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,147.5232,-91.4019,270,bottom
R78,100K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,140.0048,-91.3511,270,bottom
R79,100K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,145.0594,-94.8696,90,bottom
R80,100K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,137.3378,-94.8817,90,bottom
R81,100K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,145.0594,-91.3511,270,bottom
R82,100K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,137.3378,-91.3257,270,bottom
R83,100K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,142.5448,-94.8817,90,bottom
R84,100K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,134.874,-94.8309,90,bottom
R85,100K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,142.5448,-91.3511,270,bottom
R86,100K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,134.8486,-91.3511,270,bottom
