Designator,Val,Package,Mid X,Mid Y,Rot,Side
C1,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,151.1808,-176.0982,180,top
C2,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,173.2407,-96.3168,270,top
C3,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,187.3123,-93.4974,90,top
C7,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,203.4286,-126.5261,270,top
C13,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,207.3656,-126.6611,270,top
C16,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,208.2546,-109.0676,90,top
C22,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,205.3336,-109.0676,90,top
C29,0.01uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,202.6666,-112.8776,180,top
FID1,Fiducial_1mm_Mask3mm,Fiducial_1mm_Mask3mm,219.964,-222.4913,0,top
FID2,Fiducial_1mm_Mask3mm,Fiducial_1mm_Mask3mm,88.1761,-221.2594,0,top
FID3,Fiducial_1mm_Mask3mm,Fiducial_1mm_Mask3mm,81.7118,-82.0039,0,top
R7,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,97.6763,-109.8042,180,top
R8,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,139.0263,-109.8042,180,top
R9,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,181.4963,-109.8042,180,top
R10,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,95.6818,-112.2172,270,top
R11,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,136.9568,-112.2172,270,top
R12,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,179.5018,-112.2172,270,top
R13,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,93.2688,-109.8042,0,top
R14,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,134.5063,-109.8042,0,top
R15,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,177.1263,-109.8042,0,top
R16,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,222.7713,-109.8042,180,top
R17,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,97.7138,-151.6972,180,top
R18,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,139.7508,-151.6972,180,top
R19,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,220.7768,-112.2547,270,top
R20,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,95.6818,-154.1272,270,top
R21,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,137.5918,-154.1272,270,top
R22,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,218.4013,-109.8042,0,top
R23,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,93.2688,-151.6972,0,top
R24,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,135.3058,-151.6972,0,top
R25,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,181.6608,-151.6972,180,top
R26,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,223.5708,-151.6972,180,top
R27,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,97.8408,-193.6072,180,top
R28,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,179.5018,-154.1272,270,top
R29,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,221.4118,-154.1272,270,top
